Date, national ENPA %
2021-05-24, 0.35
2021-05-25, 0.35
2021-05-26, 0.35
2021-05-27, 0.35
2021-05-28, 0.35
2021-05-29, 0.35
2021-05-30, 0.35
2021-05-31, 0.35
2021-06-01, 0.35
2021-06-02, 0.35
2021-06-03, 0.35
2021-06-04, 0.35
2021-06-05, 0.35
2021-06-06, 0.35
2021-06-07, 0.35
2021-06-08, 0.35
2021-06-09, 0.35
2021-06-10, 0.35
2021-06-11, 0.35
2021-06-12, 0.35
2021-06-13, 0.35
2021-06-14, 0.35
2021-06-15, 0.35
2021-06-16, 0.35
2021-06-17, 0.35
2021-06-18, 0.35
2021-06-19, 0.35
2021-06-20, 0.35
2021-06-21, 0.35
2021-06-22, 0.35
2021-06-23, 0.35
2021-06-24, 0.35
2021-06-25, 0.35
2021-06-26, 0.35
2021-06-27, 0.35
2021-06-28, 0.35
2021-06-29, 0.35
2021-06-30, 0.35
2021-07-01, 0.35
2021-07-02, 0.35027173913043474
2021-07-03, 0.35054347826086957
2021-07-04, 0.35081521739130433
2021-07-05, 0.3510869565217391
2021-07-06, 0.35135869565217387
2021-07-07, 0.3516304347826087
2021-07-08, 0.35190217391304346
2021-07-09, 0.3521739130434782
2021-07-10, 0.35244565217391305
2021-07-11, 0.3527173913043478
2021-07-12, 0.3529891304347826
2021-07-13, 0.35326086956521735
2021-07-14, 0.3535326086956522
2021-07-15, 0.35380434782608694
2021-07-16, 0.3540760869565217
2021-07-17, 0.35434782608695653
2021-07-18, 0.3546195652173913
2021-07-19, 0.35489130434782606
2021-07-20, 0.35516304347826083
2021-07-21, 0.35543478260869565
2021-07-22, 0.3557065217391304
2021-07-23, 0.3559782608695652
2021-07-24, 0.35624999999999996
2021-07-25, 0.3565217391304348
2021-07-26, 0.35679347826086955
2021-07-27, 0.3570652173913043
2021-07-28, 0.35733695652173914
2021-07-29, 0.3576086956521739
2021-07-30, 0.35788043478260867
2021-07-31, 0.35815217391304344
2021-08-01, 0.35842391304347826
2021-08-02, 0.358695652173913
2021-08-03, 0.3589673913043478
2021-08-04, 0.3592391304347826
2021-08-05, 0.3595108695652174
2021-08-06, 0.35978260869565215
2021-08-07, 0.3600543478260869
2021-08-08, 0.36032608695652174
2021-08-09, 0.3605978260869565
2021-08-10, 0.3608695652173913
2021-08-11, 0.3611413043478261
2021-08-12, 0.36141304347826086
2021-08-13, 0.36168478260869563
2021-08-14, 0.3619565217391304
2021-08-15, 0.3622282608695652
2021-08-16, 0.3625
2021-08-17, 0.36277173913043476
2021-08-18, 0.3630434782608696
2021-08-19, 0.36331521739130435
2021-08-20, 0.3635869565217391
2021-08-21, 0.3638586956521739
2021-08-22, 0.3641304347826087
2021-08-23, 0.36440217391304347
2021-08-24, 0.36467391304347824
2021-08-25, 0.36494565217391306
2021-08-26, 0.3652173913043478
2021-08-27, 0.3654891304347826
2021-08-28, 0.36576086956521736
2021-08-29, 0.3660326086956522
2021-08-30, 0.36630434782608695
2021-08-31, 0.3665760869565217
2021-09-01, 0.36684782608695654
2021-09-02, 0.3671195652173913
2021-09-03, 0.3673913043478261
2021-09-04, 0.36766304347826084
2021-09-05, 0.36793478260869567
2021-09-06, 0.36820652173913043
2021-09-07, 0.3684782608695652
2021-09-08, 0.36875
2021-09-09, 0.3690217391304348
2021-09-10, 0.36929347826086956
2021-09-11, 0.3695652173913043
2021-09-12, 0.36983695652173915
2021-09-13, 0.3701086956521739
2021-09-14, 0.3703804347826087
2021-09-15, 0.3706521739130435
2021-09-16, 0.37092391304347827
2021-09-17, 0.37119565217391304
2021-09-18, 0.3714673913043478
2021-09-19, 0.3717391304347826
2021-09-20, 0.3720108695652174
2021-09-21, 0.37228260869565216
2021-09-22, 0.37255434782608693
2021-09-23, 0.37282608695652175
2021-09-24, 0.3730978260869565
2021-09-25, 0.3733695652173913
2021-09-26, 0.3736413043478261
2021-09-27, 0.3739130434782609
2021-09-28, 0.37418478260869564
2021-09-29, 0.3744565217391304
2021-09-30, 0.37472826086956523
2021-10-01, 0.375
2021-10-02, 0.37527173913043477
2021-10-03, 0.3755434782608696
2021-10-04, 0.37581521739130436
2021-10-05, 0.3760869565217391
2021-10-06, 0.3763586956521739
2021-10-07, 0.3766304347826087
2021-10-08, 0.3769021739130435
2021-10-09, 0.37717391304347825
2021-10-10, 0.37744565217391307
2021-10-11, 0.37771739130434784
2021-10-12, 0.3779891304347826
2021-10-13, 0.3782608695652174
2021-10-14, 0.3785326086956522
2021-10-15, 0.37880434782608696
2021-10-16, 0.37907608695652173
2021-10-17, 0.3793478260869565
2021-10-18, 0.3796195652173913
2021-10-19, 0.3798913043478261
2021-10-20, 0.38016304347826085
